experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp,telemetry_datetime
nea3,r1,0.28371369871831575,1764865156.5777051,1764865156.6229906,1764865156.663,1764865156.6722426,04-12-2025T17:19:16
nea3,r1,8.198311434171046e-06,1764865161.555376,1764865161.600905,1764865161.668,1764865161.677223,04-12-2025T17:19:21
nea3,r1,0.0,1764865166.8487103,1764865166.8929822,1764865166.971,1764865166.9814112,04-12-2025T17:19:26
nea3,r1,0.2837560600875122,1764865171.588396,1764865171.6333542,1764865171.675,1764865171.6843762,04-12-2025T17:19:31
nea3,r1,1.2334988355178211e-05,1764865176.5437026,1764865176.614391,1764865176.678,1764865176.6871758,04-12-2025T17:19:36
nea3,r1,0.17241944266754672,1764865181.527617,1764865181.5962014,1764865181.681,1764865181.6904528,04-12-2025T17:19:41
nea3,r1,0.9078786637704752,1764865186.6074347,1764865186.6613097,1764865186.684,1764865186.6944206,04-12-2025T17:19:46
nea3,r1,0.28365213912388754,1764865192.1068134,1764865192.1543145,1764865192.188,1764865192.1971583,04-12-2025T17:19:52
nea3,r1,0.00010293241450654023,1764865196.618199,1764865196.6658566,1764865196.692,1764865196.932624,04-12-2025T17:19:56
nea3,r1,0.28407719529877795,1764865201.6007483,1764865201.6500404,1764865201.695,1764865201.705211,04-12-2025T17:20:01
nea3,r1,4.475283958527143e-06,1764865206.5987206,1764865206.6600437,1764865206.698,1764865206.7078078,04-12-2025T17:20:06
nea3,r1,8.908880658964335e-06,1764865211.5725355,1764865211.6350362,1764865211.702,1764865211.7117078,04-12-2025T17:20:11
nea3,r1,0.28371411309660743,1764865216.5921123,1764865216.641804,1764865216.705,1764865216.714486,04-12-2025T17:20:16
nea3,r1,0.0,1764865221.6175528,1764865221.6629066,1764865221.709,1764865221.719097,04-12-2025T17:20:21
nea3,r1,0.283720627330581,1764865226.591515,1764865226.638214,1764865226.712,1764865226.7222292,04-12-2025T17:20:26
nea3,r1,0.5048051282502684,1764865231.5866582,1764865231.6488905,1764865231.715,1764865231.7252033,04-12-2025T17:20:31
nea3,r1,0.2837205248470127,1764865236.5613315,1764865236.621833,1764865236.719,1764865236.7284193,04-12-2025T17:20:36
nea3,r1,0.0,1764865241.6110032,1764865241.6715589,1764865241.723,1764865241.7328362,04-12-2025T17:20:41
nea3,r1,0.28367914423301954,1764865246.8904834,1764865246.9359877,1764865247.027,1764865247.0370507,04-12-2025T17:20:46
nea3,r1,5.702416558506229e-05,1764865251.616403,1764865251.6722014,1764865251.732,1764865251.7415729,04-12-2025T17:20:51
nea3,r1,0.0,1764865256.9720483,1764865257.0278723,1764865257.036,1764865257.0464213,04-12-2025T17:20:56
nea3,r1,0.2837719569472483,1764865261.6136494,1764865261.6762943,1764865261.74,1764865261.7494671,04-12-2025T17:21:01
nea3,r1,0.0,1764865266.982011,1764865267.0418122,1764865267.145,1764865267.1544528,04-12-2025T17:21:06
nea3,r1,0.28377509734855266,1764865271.6047137,1764865271.6657348,1764865271.749,1764865271.7592432,04-12-2025T17:21:11
nea3,r1,9.340469205199042e-06,1764865276.5761895,1764865276.6217191,1764865276.652,1764865276.6636453,04-12-2025T17:21:16
nea3,r1,0.2837106967183445,1764865281.6200252,1764865281.6658616,1764865281.756,1764865281.7645533,04-12-2025T17:21:21
nea3,r1,0.0,1764865286.6544974,1764865286.698953,1764865286.759,1764865286.769578,04-12-2025T17:21:26
nea3,r1,0.28408564682854376,1764865291.5981224,1764865291.6587207,1764865291.763,1764865291.7730746,04-12-2025T17:21:31
nea3,r1,0.0,1764865296.6629665,1764865296.724898,1764865296.766,1764865296.7756395,04-12-2025T17:21:36
nea3,r1,7.993293479557906e-06,1764865301.641751,1764865301.687776,1764865301.771,1764865301.7809305,04-12-2025T17:21:41
nea3,r1,0.2837131768230847,1764865306.667953,1764865306.7131624,1764865306.774,1764865306.7826483,04-12-2025T17:21:46
nea3,r1,1.4918583133294305e-05,1764865311.6093934,1764865311.656346,1764865311.677,1764865311.6861854,04-12-2025T17:21:51
nea3,r1,0.2837072187995773,1764865316.6781666,1764865316.7243264,1764865316.781,1764865316.7901206,04-12-2025T17:21:56
nea3,r1,1.2497105672082398e-05,1764865321.6326008,1764865321.704541,1764865321.784,1764865321.793508,04-12-2025T17:22:01
nea3,r1,0.2837156881498686,1764865326.6410725,1764865326.709839,1764865326.789,1764865326.797934,04-12-2025T17:22:06
nea3,r1,0.5032448821465323,1764865331.6388247,1764865331.69386,1764865331.793,1764865331.8039796,04-12-2025T17:22:11
nea3,r1,0.2837117754395422,1764865336.6749754,1764865336.7196224,1764865336.798,1764865336.8069243,04-12-2025T17:22:16
nea3,r1,0.0,1764865341.7003336,1764865341.7450888,1764865341.802,1764865341.811636,04-12-2025T17:22:21
nea3,r1,8.231414312831475e-06,1764865346.6778247,1764865346.725796,1764865346.807,1764865346.815882,04-12-2025T17:22:26
nea3,r1,0.2837209416634323,1764865351.649607,1764865351.711019,1764865351.811,1764865351.820356,04-12-2025T17:22:31
nea3,r1,8.64636945152597e-06,1764865356.6248455,1764865356.684729,1764865356.715,1764865356.7245111,04-12-2025T17:22:36
nea3,r1,0.2837084427433183,1764865361.684815,1764865361.7302318,1764865361.819,1764865361.8281264,04-12-2025T17:22:41
nea3,r1,9.926144571181794e-06,1764865366.65312,1764865366.6995337,1764865366.724,1764865366.7331543,04-12-2025T17:22:46
nea3,r1,0.28406488786208683,1764865371.6934605,1764865371.7387354,1764865371.828,1764865371.837134,04-12-2025T17:22:51
nea3,r1,3.4813076581485802e-06,1764865376.6968808,1764865376.75869,1764865376.832,1764865376.8419006,04-12-2025T17:22:56
nea3,r1,0.2837187400982657,1764865381.6839726,1764865381.749159,1764865381.837,1764865381.8459222,04-12-2025T17:23:01
nea3,r1,9.261652280656563e-06,1764865386.6558754,1764865386.7164583,1764865386.74,1764865386.749845,04-12-2025T17:23:06
nea3,r1,0.0,1764865391.6834035,1764865391.728768,1764865391.745,1764865391.754779,04-12-2025T17:23:11
nea3,r1,0.2837151487084384,1764865396.695673,1764865396.7511308,1764865396.849,1764865396.8586514,04-12-2025T17:23:16
nea3,r1,0.0,1764865401.6725438,1764865401.7281127,1764865401.753,1764865401.7619562,04-12-2025T17:23:21
nea3,r1,0.28371275530150797,1764865406.701734,1764865406.7755134,1764865406.858,1764865406.867456,04-12-2025T17:23:26
nea3,r1,6.925358206899546e-06,1764865411.6863277,1764865411.7513337,1764865411.762,1764865411.7728364,04-12-2025T17:23:31
nea3,r1,0.2837100494209608,1764865416.734786,1764865416.7946863,1764865416.867,1764865416.8766234,04-12-2025T17:23:36
nea3,r1,1.1896286423507263e-05,1764865421.6924548,1764865421.7389755,1764865421.772,1764865421.7822702,04-12-2025T17:23:41
nea3,r1,0.2837203128269721,1764865426.6686003,1764865426.7147894,1764865426.776,1764865426.786159,04-12-2025T17:23:46
nea3,r1,0.0,1764865431.7273552,1764865431.7727969,1764865431.78,1764865431.7889335,04-12-2025T17:23:51
nea3,r1,1.5927663639558887e-05,1764865436.663401,1764865436.7270472,1764865436.783,1764865436.791733,04-12-2025T17:23:56
nea3,r1,0.283703250085523,1764865441.760934,1764865441.823537,1764865441.886,1764865441.8952963,04-12-2025T17:24:01
nea3,r1,1.1425063917158695e-05,1764865446.7211423,1764865446.7692227,1764865446.789,1764865446.7984164,04-12-2025T17:24:06
nea3,r1,0.2837183406877557,1764865451.711022,1764865451.7577229,1764865451.792,1764865451.8013265,04-12-2025T17:24:11
nea3,r1,6.883419246150879e-06,1764865456.695844,1764865456.742424,1764865456.795,1764865456.804656,04-12-2025T17:24:16
nea3,r1,0.28407225817170456,1764865461.701416,1764865461.7492993,1764865461.8,1764865461.810222,04-12-2025T17:24:21
nea3,r1,0.0,1764865466.745325,1764865466.807512,1764865466.905,1764865466.9146264,04-12-2025T17:24:26
nea3,r1,0.6940769986123314,1764865471.7140307,1764865471.786217,1764865471.808,1764865471.8182158,04-12-2025T17:24:31
nea3,r1,0.0,1764865476.7249267,1764865476.7809827,1764865476.812,1764865476.8223815,04-12-2025T17:24:36
nea3,r1,0.41386361619572654,1764865481.7898974,1764865481.8447406,1764865481.916,1764865481.926427,04-12-2025T17:24:41
nea3,r1,0.2837287202330572,1764865486.7083323,1764865486.751943,1764865486.819,1764865486.829282,04-12-2025T17:24:46
nea3,r1,3.5879482993550482e-06,1764865491.7111678,1764865491.7568376,1764865491.822,1764865491.831326,04-12-2025T17:24:51
nea3,r1,0.2836839884607798,1764865496.9530492,1764865497.0165064,1764865497.08,1764865497.0907977,04-12-2025T17:24:56
nea3,r1,3.806410404649796e-05,1764865501.7736442,1764865501.835645,1764865501.885,1764865501.8965206,04-12-2025T17:25:01
nea3,r1,0.1723612078114911,1764865507.130011,1764865507.1775565,1764865507.191,1764865507.2004385,04-12-2025T17:25:07
nea3,r1,7.777856274060468e-05,1764865511.7564695,1764865511.80362,1764865511.896,1764865511.9050276,04-12-2025T17:25:11
nea3,r1,0.2837176870928033,1764865516.7509174,1764865516.797522,1764865516.901,1764865516.9111557,04-12-2025T17:25:16
nea3,r1,4.054000896758225e-06,1764865521.751197,1764865521.8163178,1764865521.907,1764865521.9165163,04-12-2025T17:25:21
nea3,r1,2.888242761400761e-06,1764865526.757874,1764865526.8210642,1764865526.912,1764865526.921914,04-12-2025T17:25:26
nea3,r1,0.28407665091958734,1764865531.7429512,1764865531.8105738,1764865531.817,1764865531.82666,04-12-2025T17:25:31
nea3,r1,1.121066380156094,1764865536.7501066,1764865536.7974036,1764865536.822,1764865536.832672,04-12-2025T17:25:36
nea3,r1,0.28371289420636003,1764865541.7783115,1764865541.826859,1764865541.927,1764865541.9363098,04-12-2025T17:25:41
nea3,r1,1.8608709524414735e-06,1764865546.7906394,1764865546.849326,1764865546.932,1764865546.942423,04-12-2025T17:25:46
nea3,r1,0.2837206346151788,1764865551.7645512,1764865551.8382764,1764865551.938,1764865551.94845,04-12-2025T17:25:51
nea3,r1,5.260868192635826e-06,1764865556.758226,1764865556.8197122,1764865556.843,1764865556.852299,04-12-2025T17:25:56
nea3,r1,0.2837151876576627,1764865561.770221,1764865561.8291657,1764865561.848,1764865561.8587446,04-12-2025T17:26:01
nea3,r1,6.294097602221882e-06,1764865566.7582548,1764865566.804981,1764865566.853,1764865566.8638504,04-12-2025T17:26:06
nea3,r1,0.0,1764865571.768187,1764865571.813945,1764865571.858,1764865571.8687396,04-12-2025T17:26:11
nea3,r1,0.2837146945598761,1764865576.7836585,1764865576.8312738,1764865576.863,1764865576.8733947,04-12-2025T17:26:16
