experiment_id,router_id,power_consumption_watts,node_exporter_collector_timestamp,kafka_producer_timestamp,flink_aggregation_timestamp,ml_timestamp,telemetry_datetime
ea_1,r1,703.4757916418907,1762426767.581859,1762426767.6389952,1762426767.712,1762426767.727813,06-11-2025T11:59:27
ea_1,r1,703.7213141956541,1762426772.582973,1762426772.6522353,1762426772.716,1762426772.731922,06-11-2025T11:59:32
ea_1,r1,703.7400473495076,1762426777.5654566,1762426777.634056,1762426777.72,1762426777.7359822,06-11-2025T11:59:37
ea_1,r1,703.7326109118695,1762426782.5699909,1762426782.622861,1762426782.69,1762426782.706854,06-11-2025T11:59:42
ea_1,r1,703.7382850613411,1762426787.575789,1762426787.6283853,1762426787.694,1762426787.714876,06-11-2025T11:59:47
ea_1,r1,703.7288087868194,1762426792.5907767,1762426792.6442063,1762426792.698,1762426792.71342,06-11-2025T11:59:52
ea_1,r1,703.7424752760675,1762426797.597336,1762426797.6529346,1762426797.702,1762426797.7199965,06-11-2025T11:59:57
ea_1,r1,703.7278641393593,1762426802.5538468,1762426802.6221318,1762426802.706,1762426802.721108,06-11-2025T12:00:02
ea_1,r1,703.7327897447327,1762426807.595973,1762426807.666586,1762426807.711,1762426807.726314,06-11-2025T12:00:07
ea_1,r1,703.7378745553002,1762426812.5865223,1762426812.6560311,1762426812.715,1762426812.7303617,06-11-2025T12:00:12
ea_1,r1,703.7323954121431,1762426817.5743687,1762426817.6452668,1762426817.719,1762426817.734928,06-11-2025T12:00:17
ea_1,r1,703.7471614433517,1762426822.5560095,1762426822.628368,1762426822.724,1762426822.7396488,06-11-2025T12:00:22
ea_1,r1,703.7058930659035,1762426827.6345932,1762426827.685756,1762426827.728,1762426827.7484329,06-11-2025T12:00:27
ea_1,r1,703.688834346414,1762426832.5941622,1762426832.65714,1762426832.732,1762426832.7478623,06-11-2025T12:00:32
ea_1,r1,703.6928103082738,1762426837.5937035,1762426837.6599884,1762426837.737,1762426837.7523496,06-11-2025T12:00:37
